plant,priority,evidence,plant_part,chemical_lead,fungal_result,dose_and_assay,behavioral_relation,ant_and_cultivar,source_ids,source_locator,limitations,validation_status,candidate_id,original_urls,local_originals
Piper holtonii,1 — First validation,Field selection lead + isolated compound,Leaves; 90% ethanol extract; hydrodistilled oil separately,Dillapiole (C1; apiole excluded by NMR),Extract and dillapiole inhibit growth; oil completely inhibitory at 1000 ppm,"Extract IC50/IC95 102/369 ppm; dillapiole 38/122 ppm. Acid PDA pH4.5, five weeks, five repetitions/treatment",Field non-foraging observations supported plant selection; not a quantified paired choice experiment,Atta cephalotes; L. gongylophorus as reported,salazar2020,PDF 2–5 / printed 669–672; Methods and Figs 1–3,"IC values are regression estimates without reported confidence intervals. Three source nests, but isolate allocation unclear. Cellulose/PDA controls; no positive control. Preserve ppm; not proof of killing or garden exposure.",Original full text: relevant methods/results checked,P001,https://doi.org/10.1007/s10886-020-01170-w,sources/salazar2020.pdf
Aristolochia argentina,1 — First validation,Paired behavior + isolated compound,Aerial parts,Argentilactone,Extract MIC 1.95 µg/mL; argentilactone MIC 0.90 µg/mL,Broth microdilution; extract AFI 100 at 100 µg/cm²,Extract completely deters collection in treated rose-leaf assay,Acromyrmex lundi; L. gongylophorus,napal2015,"PDF pp.3–4, Tables 1–2",One colony. MIC is assay-specific; not a whole-garden trial.,Original full text: relevant methods/results checked,P002,https://doi.org/10.1016/J.INDCROP.2015.07.001,sources/napal2015.pdf
Hymenaea courbaril,1 — First validation,Paired behavior + isolated compound,Mature leaves/resin,Caryophyllene epoxide; caryophyllene separately,"1983: epoxide damaged 8/10 cultures at 100 µg/mL within 48 h. 1988: no growth at 0.10 mg/mL epoxide, ~75% growth at 0.01 mg/mL","1983: 100 µg/mL, 3 and 30 mg/mL; damage counts. 1988: day 7 ordinal growth scores; caryophyllene 0.14/0.014 mg/mL gives ~50/75% growth",Rarely cut; preferred Spondias leaves treated with epoxide became repellent near natural leaf concentration,"Atta cephalotes; attine cultivar confirmed by ant acceptance, no molecular identity reported",hubbell1983;howard1988terpenoids,"1983 PDF 3,5 / printed 323,325; 1988 PDF 3,5,7 / printed 61,63,65",Damage frequency is not growth inhibition percentage. One donor colony per study; possible shared culture lineage unverified. Natural leaf mg/g does not establish concentration delivered to garden. Keep epoxide distinct from caryophyllene.,Original full text: relevant methods/results checked,P003,https://doi.org/10.1007/BF00376846 ; https://doi.org/10.1007/BF01022531,sources/hubbell1983.pdf ; sources/howard1988terpenoids.pdf
Flourensia oolepis,1 — First validation,Paired behavior + extract,Plant extract; voucher/part supplement pending,Active molecule unresolved,Extract MIC 7.80 µg/mL,TLC 500 µg/spot: weak (+); broth MIC 7.80 µg/mL,AFI 100; ant IC50 41.11 µg/cm²,Acromyrmex lundi; L. gongylophorus,napal2015,"PDF pp.3–4, Tables 1–2",Different screening endpoints rank it differently; do not silently replace weak TLC result with strong.,Original full text: relevant methods/results checked,P004,https://doi.org/10.1016/J.INDCROP.2015.07.001,sources/napal2015.pdf
Pterocaulon alopecuroides,1 — First validation,Direct extract; behavioral counterexample,Plant extract; part supplement pending,Active molecule unresolved,Extract MIC 7.80 µg/mL; strong TLC inhibition,500 µg/spot TLC (+++); broth microdilution,AFI −45: attractive despite antifungal activity,Acromyrmex lundi; L. gongylophorus,napal2015,"PDF p.4, Tables 1–2",Tests why an avoidance-only screen can miss useful chemistry.,Original full text: relevant methods/results checked,P005,https://doi.org/10.1016/J.INDCROP.2015.07.001,sources/napal2015.pdf
Virola sebifera,1 — First validation,Isolated compounds; acceptance varies,Leaves,"(-)-Kusunokinin; (+)-sesamin; (-)-hinokinin in thesis. 1996: sesamin, eudesmin, lignans 5/6","Thesis: kusunokinin completely suppressed growth. 1996: sesamin <20% remaining growth; eudesmin 60%, lignan 5 80%, lignan 6 40%","Thesis: kusunokinin 120 µg/mL, 30 days. 1996: sesamin 70, eudesmin 160, lignan 5 200, lignan 6 210 µg/mL; visual growth 30–35 days",Young leaves/trichomes can be preferred; not blanket avoidance,Atta sexdens rubropilosa; cultivar under historical Leucocoprinus/Leucoagaricus names,bicalho2011;bicalho2012;carlos2018;pagnocca1996,"Thesis PDF 155–157, Figs 4.56–4.58; 1996 PDF 2–4, Fig 1 and Table 1",1996 prose says complete inhibition but Table 1 says <20% growth for sesamin; retain bound. Lignans 5/6 retain source codes. Thesis/article overlap; hinokinin prose/plot differ. Do not merge stereochemistry without structure validation.,Original full text: relevant methods/results checked,P006,https://repositorio.ufscar.br/handle/20.500.14289/6502 ; https://doi.org/10.1155/2012/785424 ; https://doi.org/10.1007/s11829-017-9582-9 ; https://repositorio.unesp.br/entities/publication/44608eaa-b84f-4614-8e00-6f6fb9c5caf1,sources/virola_thesis.pdf ; sources/carlos2018.pdf ; sources/pagnocca1996.pdf
Ricinus communis,1 — First validation,Plant choice + cultivar assay + chemical study,Dry leaves; sequential solvent extracts; aqueous leaves in separate thesis,Fatty-acid-containing fractions; no individual fatty acid established as causal. Ricinine is ant-active,Bigi: hexane/methanol extracts leave 20% growth at 5 mg/mL; active subfractions leave 20% at 0.5–1 mg/mL,"Bigi: visual modal growth at 30 days, two runs of five tubes/dose; controls 100% growth. Arêdes: aqueous leaf medium,21 days",Little transported in Arêdes six-plant choice,Atta sexdens/rubropilosa; L. gongylophorus,bigi2004;aredes2018,"Bigi PDF 2–4, Tables 1–3; Arêdes PDF 55–61, Fig 3",MFHE-9 contains fatty acids plus glycosylsteroids; palmitic acid abundance is not pure-compound activity. Ricinine 1 mg/mL interpreted as null from malformed prose; no quantitative growth table entry. TLC stability checked after autoclaving.,Original full text: relevant methods/results checked,P007,https://doi.org/10.1002/PS.892 ; https://uenf.br/posgraduacao/producao-vegetal/wp-content/uploads/sites/10/2019/02/TESE-final-An%C3%A1lia-Ar%C3%AAdes.pdf,sources/bigi2004.pdf ; sources/aredes_thesis.pdf
Pilocarpus riedelianus,1 — First validation,Isolated compounds against cultivar,Stems,Xanthyletin; substituted methoxycoumarin,Xanthyletin 100% growth inhibition,"25 µg/mL; agar slants, 30 days",Natural avoidance not established in this assay,Atta sexdens rubropilosa; L. gongylophorus,godoy2005,PDF p.2 methods; p.3 Table 1,Single tested level is not a MIC. Compound and plant-part match matters.,Original full text: relevant methods/results checked,P008,https://doi.org/10.1590/S0103-50532005000400031,sources/coumarins2005.pdf
Citrus limonia,2 — Direct assay,Isolated compounds against cultivar,Roots,Suberosin; xanthoxyletin; angelicin; clausarin,Suberosin/xanthoxyletin 100%; clausarin 0%,64/70 µg/mL active coumarins; clausarin 75 µg/mL; 30 days,Root chemistry does not establish leaf avoidance,Atta sexdens rubropilosa; L. gongylophorus,godoy2005,"PDF pp.2–3, Table 1",Thesis uses inconsistent Citrus limonea/limoneae spelling and different doses/solvent; use 2005 paper values.,Original full text: relevant methods/results checked,P009,https://doi.org/10.1590/S0103-50532005000400031,sources/coumarins2005.pdf
Adiscanthus fusciflorus,2 — Direct assay,Isolated compound against cultivar,Roots,Isopimpinellin; related alkaloids in thesis,Isopimpinellin 100% inhibition,80 µg/mL; agar slants 30 days,Avoidance not established,Atta sexdens; L. gongylophorus,godoy2005;godoy2003,2005 PDF pp.2–3,Single dose; historical spelling Adiscantus occurs in thesis.,Original full text: relevant methods/results checked,P010,https://doi.org/10.1590/S0103-50532005000400031 ; https://repositorio.unesp.br/server/api/core/bitstreams/26e7fe74-e052-4666-b364-2813ace6c22e/content,sources/coumarins2005.pdf ; sources/godoy_thesis.pdf
