compound_id,preferred_name,source_names,material_scope,chemical_family,identity_status,identity_note,pubchem_query,pubchem_candidate_cids,pubchem_query_url,pubchem_candidate_url,exact_pubchem_cid,exact_inchikey,exact_smiles,candidate_smiles,candidate_connectivity_smiles,candidate_inchikey,candidate_molecular_formula,candidate_molecular_weight,candidate_xlogp,candidate_tpsa,candidate_hbond_donors,candidate_hbond_acceptors,record_count,source_count,source_ids,source_plants,source_organs,record_ids,source_locators
C001,Dillapiol,"[""Dillapiole""]",natural_product_compound_concept,Phenylpropanoid,achiral_identity_resolved,Source chemical name/structure is consistent with PubChem connectivity; reagent purity and physical form are not established by this mapping.,Dillapiole,[10231],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Dillapiole/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/10231,10231,LIKYNOPXHGPMIH-UHFFFAOYSA-N,COC1=C(C2=C(C=C1CC=C)OCO2)OC,COC1=C(C2=C(C=C1CC=C)OCO2)OC,COC1=C(C2=C(C=C1CC=C)OCO2)OC,LIKYNOPXHGPMIH-UHFFFAOYSA-N,C12H14O4,222.24,2.7,36.9,0,4,2,1,"[""salazar2020""]","[""Piper holtonii""]","[""Leaves""]","[""F003"", ""F004""]","[{""source_id"": ""salazar2020"", ""locator"": ""PDF 4–5 / printed 671–672; Figs 1–3 and results prose"", ""url"": ""https://doi.org/10.1007/s10886-020-01170-w"", ""pdf"": ""../sources/salazar2020.pdf""}]"
C002,Caryophyllene,"[""Caryophyllene""]",natural_product_compound_concept,Terpenoid / terpene derivative,stereochemistry_or_identity_review,"Name-based candidate only. Compare source stereochemistry, double-bond geometry and reagent specification before assigning an exact structure.",Caryophyllene,[5281515],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Caryophyllene/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/5281515,,,,C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,CC1=CCCC(=C)C2CC(C2CC1)(C)C,NPNUFJAVOOONJE-GFUGXAQUSA-N,C15H24,204.35,4.4,0,0,0,2,1,"[""howard1988terpenoids""]","[""Hymenaea courbaril""]","[""Leaves; previously reported origin, assay-batch provenance unresolved""]","[""F006"", ""F007""]","[{""source_id"": ""howard1988terpenoids"", ""locator"": ""PDF 7 / printed 65; Table 1"", ""url"": ""https://doi.org/10.1007/BF01022531"", ""pdf"": ""../sources/howard1988terpenoids.pdf""}]"
C003,Caryophyllene oxide,"[""Caryophyllene epoxide""]",natural_product_compound_concept,Terpenoid / terpene derivative,stereochemistry_or_identity_review,"Name-based candidate only. Compare source stereochemistry, double-bond geometry and reagent specification before assigning an exact structure.",caryophyllene oxide,[1742210],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/caryophyllene%20oxide/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/1742210,,,,C[C@@]12CC[C@@H]3[C@H](CC3(C)C)C(=C)CC[C@H]1O2,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C,NVEQFIOZRFFVFW-RGCMKSIDSA-N,C15H24O,220.35,3.6,12.5,0,1,5,2,"[""howard1988terpenoids"", ""hubbell1983""]","[""Hymenaea courbaril"", ""Hymenaea courbaril; Melampodium divaricatum; Vismea baccifera [as printed; Vismia linkage]""]","[""Leaves; previously reported origin, assay-batch provenance unresolved"", ""Mature leaves""]","[""F008"", ""F009"", ""F022"", ""F023"", ""F024""]","[{""source_id"": ""howard1988terpenoids"", ""locator"": ""PDF 7 / printed 65; Table 1"", ""url"": ""https://doi.org/10.1007/BF01022531"", ""pdf"": ""../sources/howard1988terpenoids.pdf""}, {""source_id"": ""hubbell1983"", ""locator"": ""PDF 5 / printed 325; Fungal bioassays"", ""url"": ""https://doi.org/10.1007/BF00376846"", ""pdf"": ""../sources/hubbell1983.pdf""}]"
C004,Kolavenol,"[""Kolavenol""]",natural_product_compound_concept,Terpenoid / terpene derivative,stereochemistry_or_identity_review,"Name-based candidate only. Compare source stereochemistry, double-bond geometry and reagent specification before assigning an exact structure.",Kolavenol,[6442554],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Kolavenol/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/6442554,,,,C[C@@H]1CC[C@@]2([C@@H]([C@@]1(C)CC/C(=C/CO)/C)CCC=C2C)C,CC1CCC2(C(C1(C)CCC(=CCO)C)CCC=C2C)C,PQTMZYKTDFKGKV-UUMJGGROSA-N,C20H34O,290.5,6,20.2,1,1,2,1,"[""howard1988terpenoids""]","[""Melampodium divaricatum; Vismea baccifera [as printed; Vismia linkage]""]","[""Leaves; previously reported origin, assay-batch provenance unresolved""]","[""F010"", ""F011""]","[{""source_id"": ""howard1988terpenoids"", ""locator"": ""PDF 7 / printed 65; Table 1"", ""url"": ""https://doi.org/10.1007/BF01022531"", ""pdf"": ""../sources/howard1988terpenoids.pdf""}]"
C005,Nerolidol,"[""Nerolidol""]",natural_product_compound_concept,Terpenoid / terpene derivative,stereochemistry_or_identity_review,"Name-based candidate only. Compare source stereochemistry, double-bond geometry and reagent specification before assigning an exact structure.",Nerolidol,[5284507],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Nerolidol/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/5284507,,,,CC(=CCC/C(=C/CCC(C)(C=C)O)/C)C,CC(=CCCC(=CCCC(C)(C=C)O)C)C,FQTLCLSUCSAZDY-SDNWHVSQSA-N,C15H26O,222.37,4.6,20.2,1,1,2,1,"[""howard1988terpenoids""]","[""Vismea baccifera [as printed; Vismia linkage]""]","[""Leaves; previously reported origin, assay-batch provenance unresolved""]","[""F012"", ""F013""]","[{""source_id"": ""howard1988terpenoids"", ""locator"": ""PDF 7 / printed 65; Table 1"", ""url"": ""https://doi.org/10.1007/BF01022531"", ""pdf"": ""../sources/howard1988terpenoids.pdf""}]"
C006,Sesamin,"[""Sesamin""]",natural_product_compound_concept,Lignan,stereochemistry_or_identity_review,"Name-based candidate only. Compare source stereochemistry, double-bond geometry and reagent specification before assigning an exact structure.",Sesamin,[72307],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Sesamin/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/72307,,,,C1[C@H]2[C@H](CO[C@@H]2C3=CC4=C(C=C3)OCO4)[C@H](O1)C5=CC6=C(C=C5)OCO6,C1C2C(COC2C3=CC4=C(C=C3)OCO4)C(O1)C5=CC6=C(C=C5)OCO6,PEYUIKBAABKQKQ-AFHBHXEDSA-N,C20H18O6,354.4,2.7,55.4,0,6,1,1,"[""pagnocca1996""]","[""Virola sebifera""]","[""Leaves""]","[""F014""]","[{""source_id"": ""pagnocca1996"", ""locator"": ""PDF 4 / printed 1328; Table 1"", ""url"": ""https://doi.org/10.1007/BF02266969"", ""pdf"": ""../sources/pagnocca1996.pdf""}]"
C007,Eudesmin,"[""Eudesmin""]",natural_product_compound_concept,Lignan,stereochemistry_or_identity_review,"Name-based candidate only. Compare source stereochemistry, double-bond geometry and reagent specification before assigning an exact structure.",Eudesmin,[73117],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Eudesmin/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",https://pubchem.ncbi.nlm.nih.gov/compound/73117,,,,COC1=C(C=C(C=C1)[C@@H]2[C@H]3CO[C@@H]([C@H]3CO2)C4=CC(=C(C=C4)OC)OC)OC,COC1=C(C=C(C=C1)C2C3COC(C3CO2)C4=CC(=C(C=C4)OC)OC)OC,PEUUVVGQIVMSAW-RZTYQLBFSA-N,C22H26O6,386.4,2.9,55.4,0,6,1,1,"[""pagnocca1996""]","[""Virola sebifera""]","[""Leaves""]","[""F015""]","[{""source_id"": ""pagnocca1996"", ""locator"": ""PDF 4 / printed 1328; Table 1"", ""url"": ""https://doi.org/10.1007/BF02266969"", ""pdf"": ""../sources/pagnocca1996.pdf""}]"
C008,Episesamin,"[""Episesamin""]",natural_product_compound_concept,Lignan,ambiguous_name_lookup,"PubChem returned sesamin, asarinin and a stereounspecified record. None selected. Preserve the episesamin activity separately.",Episesamin,"[72307, 101612, 5204]","https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Episesamin/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",,,,,,,,,,,,,,1,1,"[""pagnocca1996""]","[""Virola sp.""]","[""Leaves""]","[""F016""]","[{""source_id"": ""pagnocca1996"", ""locator"": ""PDF 4 / printed 1328; Table 1"", ""url"": ""https://doi.org/10.1007/BF02266969"", ""pdf"": ""../sources/pagnocca1996.pdf""}]"
C009,Philygenol,"[""Philygenol""]",natural_product_compound_concept,Lignan,database_unresolved,Name query did not resolve; preserve source identity without guessing an analogue.,Philygenol,[],"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/Philygenol/property/MolecularFormula,MolecularWeight,InChIKey,SMILES,ConnectivitySMILES,IUPACName,Title,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount/JSON",,,,,,,,,,,,,,1,1,"[""pagnocca1996""]","[""Otoba parvifolia""]","[""Fruits""]","[""F017""]","[{""source_id"": ""pagnocca1996"", ""locator"": ""PDF 4 / printed 1328; Table 1"", ""url"": ""https://doi.org/10.1007/BF02266969"", ""pdf"": ""../sources/pagnocca1996.pdf""}]"
C010,Lignan 5,"[""Lignan 5""]",natural_product_compound_concept,Lignan,source_code_unresolved,Identity is source-local Figure 1 code; manual structure transcription and independent check required.,,[],,,,,,,,,,,,,,,1,1,"[""pagnocca1996""]","[""Virola sebifera""]","[""Leaves""]","[""F018""]","[{""source_id"": ""pagnocca1996"", ""locator"": ""PDF 4 / printed 1328; Table 1"", ""url"": ""https://doi.org/10.1007/BF02266969"", ""pdf"": ""../sources/pagnocca1996.pdf""}]"
